timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736528136238,6171,Logout-0,302,Found,Thread Group 1-13,text,true,,1956,585,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,6171,0,1624
1736528142409,696,Logout-1,200,OK,Thread Group 1-13,text,true,,4853,584,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,696,0,0
1736528068817,29928,Test,,"Number of samples in transaction : 6, number of failing samples : 2",Thread Group 1-13,,false,,39105,6647,7,7,null,21124,44369,2378
1736528144252,781,Logout,200,OK,Thread Group 1-30,text,true,,6808,1169,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,381,0,0
1736528144252,381,Logout-0,302,Found,Thread Group 1-30,text,true,,1956,585,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,381,0,0
1736528144633,400,Logout-1,200,OK,Thread Group 1-30,text,true,,4852,584,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,400,0,0
1736528074482,26194,Test,,"Number of samples in transaction : 6, number of failing samples : 1",Thread Group 1-30,,false,,39111,6647,6,6,null,6401,44360,1388
1736528145574,1224,Logout,200,OK,Thread Group 1-16,text,true,,6813,1169,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,419,0,0
1736528145574,419,Logout-0,302,Found,Thread Group 1-16,text,true,,1956,585,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,419,0,0
1736528145994,804,Logout-1,200,OK,Thread Group 1-16,text,true,,4857,584,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,804,0,0
1736528069812,32622,Test,,"Number of samples in transaction : 6, number of failing samples : 2",Thread Group 1-16,,false,,39072,6647,5,5,null,14275,44366,10112
1736528092791,55255,Validate,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 55,255 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6925,1413,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,53924,0,0
1736528092791,53924,Validate-0,302,Found,Thread Group 1-19,text,true,,1956,829,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,53924,0,0
1736528146716,1330,Validate-1,200,OK,Thread Group 1-19,text,true,,4969,584,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1330,0,925
1736528123140,26750,AdminModule,200,OK,Thread Group 1-27,text,false,"The operation lasted too long: It took 26,750 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6790,1179,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4944,0,0
1736528123140,4944,AdminModule-0,302,Found,Thread Group 1-27,text,true,,1956,595,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,4944,0,0
1736528128084,21806,AdminModule-1,200,OK,Thread Group 1-27,text,true,,4834,584,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,21806,0,0
1736528154450,2710,Dashboard,200,OK,Thread Group 1-27,text,true,,6803,1173,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2194,0,1774
1736528154450,2194,Dashboard-0,302,Found,Thread Group 1-27,text,true,,1956,589,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,2194,0,1774
1736528156645,515,Dashboard-1,200,OK,Thread Group 1-27,text,true,,4847,584,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,515,0,0
1736528114402,46761,AdminModule,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 46,761 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6801,1179,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,44568,0,0
1736528114402,44568,AdminModule-0,302,Found,Thread Group 1-7,text,true,,1956,595,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,44568,0,0
1736528158970,2193,AdminModule-1,200,OK,Thread Group 1-7,text,true,,4845,584,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2193,0,743
1736528158474,3806,MyDetails,200,OK,Thread Group 1-19,text,true,,6787,1175,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2981,0,0
1736528158474,2981,MyDetails-0,302,Found,Thread Group 1-19,text,true,,1956,591,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewMyDetails,2981,0,0
1736528161456,824,MyDetails-1,200,OK,Thread Group 1-19,text,true,,4831,584,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,824,0,0
1736528163697,1855,Logout,200,OK,Thread Group 1-27,text,true,,6814,1169,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,429,0,0
1736528163697,429,Logout-0,302,Found,Thread Group 1-27,text,true,,1956,585,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,429,0,0
1736528164127,1425,Logout-1,200,OK,Thread Group 1-27,text,true,,4858,584,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1425,0,0
1736528073484,47710,Test,,"Number of samples in transaction : 6, number of failing samples : 3",Thread Group 1-27,,false,,39081,6647,4,4,null,12217,44361,2457
1736528165724,778,Dashboard,200,OK,Thread Group 1-7,text,true,,6815,1173,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,384,0,0
1736528165724,384,Dashboard-0,302,Found,Thread Group 1-7,text,true,,1956,589,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,384,0,0
1736528166108,394,Dashboard-1,200,OK,Thread Group 1-7,text,true,,4859,584,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,394,0,0
1736528168488,3946,AdminModule,200,OK,Thread Group 1-19,text,true,,6798,1179,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,443,0,0
1736528168488,443,AdminModule-0,302,Found,Thread Group 1-19,text,true,,1956,595,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,443,0,0
1736528168931,3503,AdminModule-1,200,OK,Thread Group 1-19,text,true,,4842,584,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,3503,0,0
1736528173039,4609,Logout,200,OK,Thread Group 1-7,text,true,,6805,1169,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,432,0,0
1736528173039,433,Logout-0,302,Found,Thread Group 1-7,text,true,,1956,585,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,432,0,0
1736528173472,4176,Logout-1,200,OK,Thread Group 1-7,text,true,,4849,584,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4176,0,0
1736528066821,66464,Test,,"Number of samples in transaction : 6, number of failing samples : 3",Thread Group 1-7,,false,,39102,6647,3,3,null,57254,44366,690
1736528176995,10270,Dashboard,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 10,270 milliseconds, but should not have lasted longer than 7,000 milliseconds.",6788,1173,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,9443,0,0
1736528176995,9444,Dashboard-0,302,Found,Thread Group 1-19,text,true,,1956,589,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,9443,0,0
1736528186439,826,Dashboard-1,200,OK,Thread Group 1-19,text,true,,4832,584,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,825,0,0
1736528193801,19281,Logout,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 19,281 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6795,1169,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,17164,0,0
1736528193801,17164,Logout-0,302,Found,Thread Group 1-19,text,true,,1956,585,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/logout,17164,0,0
1736528210965,2117,Logout-1,200,OK,Thread Group 1-19,text,true,,4839,584,2,2,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2117,0,1705
1736528070815,97912,Test,,"Number of samples in transaction : 6, number of failing samples : 4",Thread Group 1-19,,false,,39027,6647,2,2,null,89309,44356,4326
